Name;Jahrgang;Auragentum.de;ESG Edelmetall-Service;Geiger Edelmetalle;Kettner Edelmetalle;Kronwitter GbR;MEZEI - Münzen | Edelmetalle;Münzen Engel;Silbertresor - Faller Edelmetalle;Silverbroker.de;coininvest.com;philoro Edelmetalle;
American Eagle;2023;35,45;36,18;34,1;40,85;;35,02;33,3;36,99;;36,31;35,84;
Arche Noah;2012;;;;;52,0;;;;41,55;;;
Arche Noah;2012;;;;;52,0;;;;41,55;;;
Arche Noah;2012;;;;;52,0;;;;41,55;;;
Arche Noah;2012;;;;;52,0;;;;41,55;;;
Arche Noah;2012;;;;;52,0;;;;41,55;;;
Arche Noah;2012;;;;;52,0;;;;41,55;;;
Arche Noah;2012;;;;;52,0;;;;41,55;;;
Arche Noah;2012;;;;;52,0;;;;41,55;;;
Arche Noah;2012;;;;;52,0;;;;41,55;;;
